Radio-cuerda derecho, Arco derecho, Radio-cuerda izquierdo, Arco izquierdo, Estatura estimada derecha, Estatura estimada izquierda, Estatura real 
1.697, 16.940, 1.680, 17.160, 159.469, 159.267, 160.8
1.741, 17.300, 1.747, 17.460, 163.701, 163.196, 163.1
1.727, 17.210, 1.715, 18.150, 162.413, 166.406, 167.6
1.594, 16.530, 1.629, 16.580, 150.591, 154.129, 154.6
1.789, 18.280, 1.801, 18.420, 169.713, 170.748, 170.0
1.759, 18.120, 1.771, 18.150, 167.031, 168.160, 164.0
1.818, 18.620, 1.823, 18.160, 172.747, 169.850, 172.9
1.798, 18.680, 1.841, 19.310, 171.355, 177.434, 172.6
1.709, 17.430, 1.710, 17.770, 161.554, 163.930, 153.2
1.692, 17.830, 1.696, 17.010, 161.200, 158.852, 159.1
1.706, 17.540, 1.744, 18.130, 161.586, 167.193, 165.6
1.698, 18.670, 1.640, 17.850, 163.657, 162.226, 154.4
1.790, 18.340, 1.789, 18.070, 169.933, 168.235, 170.4
1.771, 17.940, 1.775, 18.100, 167.524, 167.980, 167.4
1.680, 16.500, 1.668, 16.340, 157.119, 153.885, 154.8
1.768, 18.150, 1.744, 17.600, 167.793, 163.957, 169.7
1.988, 19.640, 1.900, 19.910, 188.217, 182.945, 182.5
1.610, 16.080, 1.599, 15.960, 150.749, 149.404, 152.7
1.703, 17.400, 1.691, 17.010, 161.023, 158.695, 160.0
1.670, 16.930, 1.668, 16.580, 157.373, 155.350, 157.6
1.647, 17.080, 1.602, 17.390, 155.965, 158.228, 151.4
1.827, 18.770, 1.849, 18.510, 173.794, 172.800, 173.5
1.877, 18.840, 1.869, 19.070, 177.797, 176.846, 177.8
1.660, 16.500, 1.695, 16.580, 155.584, 156.195, 155.0
1.841, 18.110, 1.776, 18.430, 173.300, 170.026, 172.0
1.674, 16.950, 1.645, 17.090, 157.728, 157.743, 152.3
1.647, 16.900, 1.644, 16.990, 155.537, 157.101, 156.2
1.649, 17.330, 1.659, 17.160, 156.712, 158.609, 159.2
1.610, 16.080, 1.599, 15.970, 150.749, 149.465, 152.7
1.703, 17.500, 1.691, 17.190, 161.260, 159.794, 160.0
1.670, 16.890, 1.671, 16.580, 157.278, 155.444, 157.6
1.658, 17.080, 1.602, 17.410, 156.809, 158.350, 151.4
1.798, 18.780, 1.841, 19.300, 171.592, 177.373, 172.6
1.710, 17.430, 1.150, 17.770, 161.631, 146.394, 153.2
1.692, 17.860, 1.696, 17.104, 161.271, 159.426, 159.1
1.913, 19.200, 1.936, 19.600, 181.415, 182.179, 183.4
1.798, 17.740, 1.799, 18.260, 169.121, 169.708, 172.3
1.837, 18.820, 1.872, 18.650, 174.680, 174.375, 172.9
1.921, 19.360, 1.930, 19.620, 182.410, 182.114, 186.0
1.815, 18.710, 1.803, 18.280, 172.730, 169.956, 176.8
1.778, 18.280, 1.801, 18.460, 168.869, 170.992, 170.0
1.759, 18.140, 1.771, 18.170, 167.079, 168.282, 164.0
1.818, 18.590, 1.823, 18.140, 172.676, 169.727, 172.9
1.805, 18.560, 1.821, 18.530, 171.607, 172.046, 175.3
1.879, 19.100, 1.885, 19.110, 178.569, 177.591, 179.8
