"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
1,26,7.7,6.51,8.16,6.25,6.86,8,22.55,22.94,35.15,5.36,5.28,8.84,5.17,6.1,6.55,15.72,17.08,26.53,19,"F",1.61,"Ciudad de México"
1,27,9.17,6.53,7.44,9.02,6.8,7.28,23.35,21.97,36.76,5.54,5.89,6.41,5.82,5.79,6.39,17.84,18.36,27.35,30,"F",1.57,"Ciudad de México"
1,32,8.1,6.2,8.5,9.4,6.21,8.45,23.07,24.46,39.24,5.56,6.51,7.41,4.68,6.4,7.42,17.62,17.83,25.7,18,"M",1.71,"Estado de México"
1,33,8.81,5.69,7.36,8.63,5.87,7.78,21.47,22.14,36.24,5.26,5.39,6.79,4.97,6.08,6.56,17.3,17.58,28.49,18,"M",1.61,"Ciudad de México"
1,34,8.21,6.59,7.59,8.91,6.41,6.75,22.51,22.5,35.7,4.96,5.32,6.43,4.9,5.72,6.42,17.15,17.9,26.86,18,"M",1.55,"Ciudad de México"
1,35,8.76,7.51,7.89,8.79,7.29,7.5,23.9,23.2,23.98,5.77,6.02,7.26,5.51,6.64,7.19,17.85,18.42,28.45,18,"F",1.61,"Ciudad de México"
1,36,9.88,6.9,8.31,7.75,7.56,8.45,25.53,25.5,35.81,6.24,5.94,6.77,5.79,6.47,7.1,18.7,19,28.81,20,"F",1.67,"Ciudad de México"
1,37,8.11,6.75,7.92,8.31,6.67,7.65,22.92,22.69,33.31,4.71,5.22,5.61,4.89,5.68,6.54,16.52,16.77,25.02,19,"F",1.62,"Ciudad de México"
1,38,8.04,6.81,8.01,7.94,7.46,7.99,23.46,23.49,35.87,4.98,6,6.98,4.62,6.48,6.59,17.84,18.05,27.06,21,"F",1.56,"Ciudad de México"
1,39,8.5,7.14,8.79,8.52,7.34,8.97,24.83,24.87,38.67,6.01,6.7,7.63,6.08,6.73,7.05,20.1,19.14,30.55,19,"F",1.55,"Ciudad de México"
1,40,8.25,6.65,8.44,8.88,6.61,8.3,23.59,23.68,36.2,5.2,6,6.85,5.19,6.01,6.87,16.16,16.9,25.37,23,"F",1.51,"Estado de México"
1,41,8.82,7.99,8.35,9.11,7.91,8.2,25.44,25.62,40.24,5.42,6.71,7,5.38,6.3,6.93,19.01,19.06,31.96,18,"F",1.5,"Ciudad de México"
1,42,8.22,6.49,8.3,8.1,6.69,7.55,23,24.44,35.39,5.61,5.94,7.44,5.31,5.9,7.14,18.7,17.96,29.26,19,"M",1.9,"Ciudad de México"
1,43,9.35,7.25,8.86,9.23,7.28,8.34,22.82,24.48,35.29,6.16,6.58,7.37,5.85,6.52,7.46,17.3,17.96,28.3,18,"F",1.7,"Estado de México"
1,44,8.33,7.48,8.53,8.38,7.18,8.14,24.3,24.73,38.28,5.12,NA,6.95,5.22,6.5,6.97,NA,19.41,NA,18,"F",1.51,"Ciudad de México"
1,45,8.31,6.39,8.21,8.15,6.56,8.31,23.06,23.04,35.35,5.13,7.72,6.82,4.9,5.64,6.69,16.12,17.06,26.3,18,"F",1.58,"Ciudad de México"
1,46,8.41,7.42,8.58,8.57,7.39,8.11,24.24,23.57,39.54,5.89,6.23,6.8,5.12,6.09,6.89,16.79,17.81,28.28,19,"F",1.6,"Ciudad de México"
1,47,8.8,7.61,8.04,8.5,7.61,7.98,24.2,23.71,37.66,5.52,5.75,6.98,5.66,5.85,7.36,17.23,18.58,26.42,18,"M",1.62,"Ciudad de México"
1,48,8.87,6.41,8,8.91,6.97,7.55,23.37,22.66,39.09,5.7,6.89,7.1,5.62,6.75,7.02,18.66,18.47,30.85,18,"M",1.63,"Querétaro"
1,49,9.05,7.84,7.24,8.5,7.62,6.76,23.18,22.47,37.78,5.76,6.05,7.07,5.95,6.32,6.73,18.12,17.11,29.04,19,"F",1.63,"Ciudad de México"
1,50,8.95,6.79,8.12,9.42,7.11,7.8,23.58,24.6,39.77,5.61,6.06,7.19,5.8,6.07,7.41,17.36,18.94,31.05,42,"F",1.68,"Ciudad de México"
1,51,9.13,6.25,7.78,9.5,5.6,8.16,24.41,22.06,35.94,6.55,6.75,6.82,6.53,7.03,7.22,17.81,17.72,28.65,23,"F",1.56,"Ciudad de México"
1,52,7.87,6.87,7.96,8,7.1,7.56,21.9,21.45,36.26,5.15,6.1,6.92,4.82,6.17,6.84,16.39,17.37,27.75,21,"F",1.65,"Ciudad de México"
1,53,8.33,7.02,7.86,8.67,7.2,7.96,21.04,21.16,35.19,5.65,5.82,7.07,5.55,5.86,7.11,17.87,16.93,29.01,22,"F",1.68,"Ciudad de México"
1,54,8.15,6.84,7.92,7.65,6.62,7.64,23.47,23.2,35.42,4.76,5.74,7.1,5,6.27,7.3,15.59,16,28.33,20,"F",1.61,"Estado de México"
1,55,7.75,5.72,7.44,7.3,5.55,7.48,21.3,20.94,34.79,5,5.55,5.65,5.09,5.36,6.16,16.44,17.22,26.85,20,"F",1.55,"Ciudad de México"
1,65,7.51,6.67,7.18,8.28,7.13,6.73,22.43,22.72,36.75,5.55,5.91,7.04,5.4,6.09,6.15,16.13,16.91,27.69,22,"F",1.66,"Ciudad de México"
1,66,9.13,7.25,7.26,8.94,7.12,8.03,24.64,24.2,36.36,6.24,5.82,7.01,5.21,6.38,6.96,19.59,19.4,27.51,19,"M",1.72,"Ciudad de México"
1,67,8.32,6.61,7.81,8.35,6.57,7.42,21.59,22.29,35.22,5.29,5.98,6.54,5.52,6.4,6.65,18.57,17.99,28.4,26,"F",1.62,"Estado de México"
1,68,8.64,6.22,7.63,8.77,7.29,8,23.91,23.71,39.6,5.87,6.51,6.53,5.68,6.54,7.49,18.02,18.79,30.12,18,"M",1.72,"Estado de México"
1,69,8.255,5.76,7.105,8.465,5.965,7.41,21.19,21.855,34.49,5.195,5.52,6.085,4.865,5.78,6.255,16.96,17.19,26.155,18,"F",1.58,"Ciudad de México"
1,70,8.59,7.155,7.615,8.55,6.965,7.425,23.595,23.065,36.635,5.32,5.435,6.89,5.39,5.86,6.725,17.94,16.85,26.715,18,"M",1.69,"Estado de México"
1,71,8.39,6.81,7.35,7.985,6.31,7.67,23.085,21.905,36.43,5.01,5.09,6.785,4.965,5.42,6.88,17.645,17.31,28.675,19,"F",1.52,"Ciudad de México"
1,72,8.59,7.725,8.285,8.505,7.795,8.225,20.325,20.755,37.58,5.35,6.055,6.37,5.49,5.935,6.555,17.06,17.79,29.23,20,"F",1.51,"Ciudad de México"
1,73,7.89,6.98,8.1,NA,6.92,7.74,21.94,NA,34.68,4.58,5.87,6.94,5.45,6.35,6.32,17.44,18.3,27.28,18,"F",1.64,"Ciudad de México"
1,74,9.35,7.04,7.36,8.81,7.23,7.34,23.34,21.87,35.79,5.85,6.51,6.17,5.75,6.34,6.16,18.63,17.16,26.11,27,"F",1.64,"Ciudad de México"
1,75,8.07,6.23,7.39,7.65,6.02,7.38,19.99,20.99,32.26,5.48,6.03,6.7,5.59,6.01,6.43,15.82,17.51,35.92,18,"F",1.5,"Ciudad de México"
1,76,9.44,7.05,7.72,8.86,6.87,7.39,23.96,21.75,36.51,5.26,6.01,6.44,5.64,6.18,7.11,17.42,15.65,27.6,56,"F",1.56,"Ciudad de México"
1,77,8.49,6.41,7.88,8.4,6.2,8,22.59,21.98,35.4,5.19,5.6,5.8,5,5.71,6.28,15.8,17.1,26.15,19,"F",1.64,"Ciudad de México"
1,78,8.59,6.38,7.49,8.45,6.68,7.35,22.52,22.54,34.9,5.45,5.7,6.56,4.96,5.45,6.28,16.04,16.54,26.95,18,"M",1.7,"Ciudad de México"
1,79,8.3,7.37,NA,8.45,7.38,7.8,NA,22.43,NA,5.08,6.14,6.7,5.17,5.99,6.57,16.97,17.66,24.57,19,"M",1.63,"Estado de México"
1,81,8.53,6.55,8.18,8.55,7.05,8.11,23.07,23.02,36.74,5.08,6.17,6.66,5.03,5.75,6.77,17.7,17.49,28.54,18,"F",1.57,"Ciudad de México"
1,84,9.11,7.52,9.31,8.85,8.15,8.96,24.2,26.19,42.41,6.01,6.61,8.1,5.74,6.85,7.77,18.08,18.47,30.23,18,"F",1.73,"Ciudad de México"
1,87,8.75,7.08,7.57,8.46,7.06,7.81,23.25,23.17,36.46,5.06,6.13,7.42,5.5,NA,7.37,18.42,18.82,28.09,18,"M",1.75,"Ciudad de México"
1,90,7.79,6.5,6.9,7.55,5.9,7.86,17.87,19.51,31.33,5.27,5.63,6.58,5.29,6,6.31,15.47,15.93,25.02,18,"F",1.57,"Ciudad de México"
1,95,8.49,6.89,7.6,8.59,7.14,7.86,23.38,22.52,35.89,5.48,6,6.39,5.48,5.98,6.6,16.39,17.43,25.66,19,"F",1.67,"Ciudad de México"
1,96,8.99,8.2,7.99,9.51,8.12,8.12,24.69,23.64,38.15,6,6.49,7.58,6.27,6.55,7.34,17.49,17.63,27.99,19,"F",1.7,"Ciudad de México"
1,97,8.26,7.06,8.06,7.98,7.17,7.96,21.24,21.82,33.5,5.26,5.75,6.6,5.05,5.88,7,16.88,18.32,27.07,18,"F",1.57,"Ciudad de México"
1,99,8.48,7.32,7.44,8.1,7.15,7.85,21.22,22.69,32.39,5.71,6.19,7.25,5.75,4.89,7.03,16.61,16.45,23.54,19,"M",1.81,"Ciudad de México"
1,102,8.96,8.42,8.08,9.19,7.86,8.16,23.69,24.4,37.75,5.29,6.07,7.06,5.98,6.32,7.11,18.43,17.65,29.5,17,"F",1.51,"Ciudad de México"
1,105,8.29,6.32,8.11,8.29,6.27,8.3,21.25,22.87,35.83,4.96,5.68,6.72,5,5.5,6.76,16.29,17.21,26.98,21,"F",1.56,"Ciudad de México"
1,106,9.64,7.15,8.37,9.64,6.77,8.85,23.19,25.29,39.96,5.66,6,7.49,5.24,6.55,7.16,17.35,18.85,29.85,19,"F",1.61,"Querétaro"
1,107,8.76,7.23,7.67,8.96,7.24,7.66,24.1,23.13,38.27,5.33,6.1,7.36,5.77,6.23,7.32,19.28,17.44,31.9,43,"F",1.62,"Ciudad de México"
1,108,9.85,6.95,8,9.69,7.31,8,25.11,25.18,36.25,6.28,7.06,6.71,5.48,6.61,6.96,18.63,19.4,28.51,20,"F",1.67,"Ciudad de México"
1,109,7.3,6.96,6.91,7.79,6.6,7.24,20.2,21.45,32.76,5.44,6.53,6.71,5.13,6.4,6.58,16.91,16.76,26.03,54,"F",1.53,"Michoacán"
1,110,8.16,5.71,8.29,8.65,6.08,7.88,23.78,24.48,38.96,5.18,6.36,7.11,4.84,6.37,6.27,16.65,17.34,25.75,18,"M",1.71,"Estado de México"
1,111,8.75,7.88,7.34,8.53,7.62,6.7,23.22,22.22,37.51,5.74,5.74,6.58,5.67,5.87,6.66,17.89,16.74,29.04,19,"F",1.63,"Ciudad de México"
1,112,8.74,7.02,7.66,8.95,6.88,8.09,24.19,23.72,37.82,5.48,6.4,7.06,5.68,6.28,7.36,18.99,19.23,29.4,20,"M",1.66,"Ciudad de México"
1,113,9.1,7.94,7.87,8.88,7.64,7.97,24.71,24.32,40.04,5.14,5.94,7.06,5.11,6.04,6.39,18.78,17.92,30.27,47,"M",1.75,"Ciudad de México"
1,114,8.38,6.56,7.66,8.4,6.49,8,22.27,22.03,37.77,5.33,6.06,6.58,5.34,5.69,6.71,15.44,17.16,25.67,29,"M",1.69,"Ciudad de México"
1,116,8.54,6.97,7.81,8.43,6.59,8.03,22.7,20.99,32.78,5.15,5.71,6.77,4.68,6.08,7.01,17.28,16.87,25.74,22,"M",1.71,"Ciudad de México"
1,117,8.4,7.16,6.09,8.63,6.84,5.94,19.88,19.27,33.52,5.81,5.83,7.09,5.68,6.28,6.57,15.19,16.78,26.34,23,"F",1.59,"Estado de México"
1,118,7.7,6.9,8.05,8.2,6.52,8,20.6,21.66,37.26,5.02,6.43,7.14,5.91,6.34,7.11,16.32,17.76,26.43,59,"F",1.51,"Michoacán"
1,119,8.11,6.71,7.41,7.81,6.09,7.3,22.08,20.7,34.91,5.35,5.86,6.54,5.48,6.14,6.5,17.72,18.11,28.41,32,"F",1.56,"Ciudad de México"
1,120,8.48,7.15,7.77,8.11,7.05,8.08,22.81,23.14,34.76,5.4,6.42,6.5,5.66,6.35,6.85,18.42,18.84,30.94,48,"F",1.55,"Michoacán"
1,121,7.98,6.65,9,8.43,7.24,8.99,23.45,24.23,38.36,6.38,6.51,7.4,6.19,6.85,6.88,20.11,18.65,30.51,19,"F",1.55,"Ciudad de México"
1,122,8.7,6.5,7.5,8.71,6.57,7.48,22.19,21.71,33.56,5.3,5.61,6.22,4.94,5.98,6.39,17.43,17.4,26.26,27,"F",1.55,"Ciudad de México"
1,123,6.43,7.23,8.1,7.9,7.01,8.14,21.54,22.68,37.66,5.87,6.39,7.03,5.69,6.4,7.13,17.47,17.08,29,25,"M",1.74,"Ciudad de México"
1,124,7.55,6.16,7.81,7.76,6.59,7.9,20.64,21.01,35,5.42,5.88,6.87,5.28,6.1,6.67,15.73,15.73,26.8,19,"F",1.61,"Ciudad de México"
1,125,8.72,7.03,8.29,9.02,6.97,8.17,22.26,22.11,36.77,6,6.51,6.69,5.94,6.4,6.66,18.34,18.33,28.38,18,"M",1.78,"Estado de México"
1,126,8.6,6.25,7.47,8.36,6.08,7.64,21.2,20.88,34.13,5.29,6.08,6.7,5.3,5.81,6.57,16.58,17.43,26.16,19,"F",1.45,"Estado de México"
1,127,8.65,6.75,7.46,9.59,7.53,7.43,22.78,22.78,35.41,4.96,5.85,6.49,5.25,5.64,6.87,17.54,17.91,25.82,31,"F",1.61,"Estado de México"
1,128,8.38,6.91,8.27,8.9,7.42,8.09,22.76,23.46,36.77,5.8,6.38,7.21,5.85,6.23,6.95,19.34,18.96,29.33,25,"F",1.67,"Ciudad de México"
1,129,8.6,7.85,7.29,9.36,7.38,7.62,23.23,22.94,36.85,5.48,6.33,6.5,5.25,5.8,6.33,18.31,17.88,26.38,25,"F",1.58,"Estado de México"
1,130,8.64,6.44,8.24,7.91,7.1,8.25,22.4,22.83,38.32,5.92,7.33,6.49,6.9,5.99,7.01,19.74,21.6,30.16,44,"F",1.71,"Ciudad de México"
2,1,8.91,6.33,7.93,8.23,7.15,7.75,22.76,22.85,39.48,5.04,6.37,6.84,4.72,6.36,7.19,18.95,18.57,30.38,21,"F",1.6,"Ciudad de México"
2,2,7.62,5.41,7.32,8.07,6.11,7.13,22.67,22.96,35.88,4.94,5.64,6.91,5.13,5.85,6.47,15.75,16.82,25.49,21,"F",1.56,"Ciudad de México"
2,3,7.55,5.78,7.79,7.57,5.71,6.86,22.81,22.34,39.45,4.79,5.06,6.32,4.73,5.97,6.13,17.33,15.59,27.19,25,"F",1.67,"Ciudad de México"
2,4,6.97,5.65,7.53,7.51,5.44,7.15,21.05,20.53,36.39,4.36,5.39,6.14,4.23,5.33,6.27,15.91,15.68,25.68,22,"F",1.67,"Guanajuato"
2,5,8.08,6.53,6.53,7.66,6.51,7.63,22.44,21.41,38.51,4.91,5.16,6.43,5.14,5.13,6.83,16.74,16.76,29.11,21,"F",1.5,"Estado de México"
2,6,7.74,6.36,6.79,7.64,6.17,7.73,21.35,21.22,33.14,4.85,5.14,6.29,4.68,5.35,6.08,15.98,16.44,26.16,21,"F",1.68,"Ciudad de México"
2,7,7.74,5.63,7.21,7.43,5.13,7.54,21.94,21.52,37.46,5.23,5.69,6.54,4.45,5.37,5.82,15.24,15.58,26.86,22,"M",1.6,"Estado de México"
2,8,8.68,6.94,6.87,9.13,7.85,7.95,23.34,21.5,35.58,5.62,6.43,7.14,5.72,6.06,6.73,15.72,16.25,27.29,21,"M",1.76,"Ciudad de México"
2,9,8.34,6.63,8.08,8.84,7.41,8.31,21.71,23.44,40.67,5.39,6.31,7.27,5.59,6.14,7.25,17.17,17.68,30.52,21,"F",1.59,"Ciudad de México"
2,10,7.75,6.59,7.92,7.92,7.03,7.08,20.55,21.11,35.38,5.31,6.18,6.45,5.59,6.03,5.91,14.55,16.71,27.74,NA,"F",1.56,NA
2,11,7.63,6.67,7.53,8.24,6.85,6.72,21.86,22.49,37.41,5.39,6.39,6.53,5.48,5.98,5.86,16.14,15.23,28.18,21,"F",1.54,"Ciudad de México"
2,12,7.53,5.98,7.19,7.77,5.61,7.44,21.39,21.11,34.79,5.26,5.11,6.01,4.5,5.87,6.08,14.86,15.57,24.21,21,"F",1.59,"Estado de México"
2,13,7.75,6.49,7.65,7.63,6.7,7.45,19.01,19.25,19.03,5.11,5.44,6.13,5.37,5.46,5.87,14.76,14.23,25.65,21,"F",1.64,"Estado de México"
2,14,7.8,6.49,7.85,8.25,6.31,7.31,20.47,21.02,37.85,4.79,5.87,6.83,4.58,5.81,6.05,19.36,16.33,30.26,20,"F",1.5,"Estado de México"
2,15,8.53,6.65,8.27,8.83,6.52,8.32,22.02,22.38,37.46,5.95,6.38,7.6,5.62,6.26,7.18,16.44,17.14,30.42,21,"F",1.57,"Ciudad de México"
2,16,8.04,6.99,7.93,8.51,6.69,NA,20.94,NA,NA,5.27,6,6.56,5.43,5.51,6.14,15.83,17.11,28.29,22,"F",1.5,"Ciudad de México"
2,17,7.66,5.81,7.69,7.41,6.06,7.08,20.73,20.89,34.62,5.18,5.18,5.72,4.68,5.38,6.26,16.67,16.22,27.31,20,"F",1.42,"Ciudad de México"
2,18,9.04,6.48,8.07,8.93,6.43,7.81,21.41,22.41,36.14,5.69,5.69,6.95,5.28,5.85,7.05,17.44,16.83,29.01,21,"M",1.61,"Estado de México"
2,19,8.01,7.11,8.11,8.44,7.31,8.08,21.66,22.74,35.61,5.09,5.48,6.28,5.05,5.31,6.03,16.18,15.98,25.31,18,"F",1.53,"Ciudad de México"
2,20,7.77,5.81,7.53,7.61,5.62,7.48,20.91,20.04,36.78,4.89,4.87,6.42,6.42,5.53,6.46,15.12,15.71,26.37,18,"F",1.6,"Ciudad de México"
2,21,7.34,5.32,6.77,7.71,5.49,6.67,18.78,19.64,32.49,4.55,5.09,5.76,4.58,5.05,5.31,15.02,14.78,25.18,19,"F",1.56,"Ciudad de México"
2,22,8.04,6.47,7.21,8.06,6.63,7.02,20.61,20.85,20.54,4.81,5.24,6.21,4.53,5.12,5.58,14.55,14.51,21.98,20,"F",1.57,"Estado de México"
2,23,9.73,7.07,8.51,9.53,6.73,8.49,23.02,22.98,39.19,5.06,6.14,7.48,5.33,6.31,6.89,16.32,17.88,29.71,19,"F",1.61,"Querétaro"
2,24,8.53,5.85,7.44,8.31,6.35,7.57,20.56,20.12,33.47,5.06,6.39,6.67,5.24,5.66,6.71,15.76,15.24,25.94,19,"F",1.45,"Estado de México"
2,25,8.67,6.83,8.16,8.69,6.34,8.09,20.63,21.11,36.11,5.81,6.21,6.31,6.08,6.16,6.64,16.39,17.45,28.51,18,"M",1.78,"Estado de México"
2,26,7.56,6.33,7.61,7.62,6.61,8.18,20.68,20.58,33.91,5.37,5.72,6.78,5.25,5.84,6.67,15.12,15.71,27.72,19,"F",1.61,"Ciudad de México"
2,27,9.12,6.74,7.36,8.65,6.57,7.49,21.8,21.79,36.84,5.42,6.06,7.43,5.51,6.15,6.35,16.31,17.08,27.66,30,"F",1.57,"Ciudad de México"
2,28,8.98,5.74,8.31,9.93,5.45,8.16,21.63,21.64,37.29,6.22,7.26,7.16,6.44,7.32,7.01,17.06,17.17,28.72,23,"F",1.56,"Ciudad de México"
2,29,9.04,7.92,7.55,9.23,7.71,7.71,23.01,22.56,41.11,5.52,6.56,6.87,5.85,6.26,6.7,17.17,17.79,30.53,19,"F",1.57,"Ciudad de México"
2,30,7.78,6.23,7.71,7.47,6.38,7.89,20.05,19.11,34.01,4.74,5.22,6.47,4.86,5.59,6.47,16.18,14.58,29.74,18,"F",1.55,"Estado de México"
2,31,8.64,7.84,8.04,8.47,7.51,8.19,22.19,21.19,22.07,6.34,6.48,7.79,5.81,6.13,7.33,13.99,14.27,23.66,18,"F",1.54,"Estado de México"
2,32,8.32,5.16,8.44,8.52,5.32,8.36,22.04,23.05,38.31,5.22,6.54,6.79,4.71,6.24,6.62,16.93,15.71,26.25,18,"M",1.71,"Estado de México"
2,33,8.66,5.56,7.49,8.69,5.2,7.88,21.34,21.11,35.63,5.06,5.08,6.44,4.65,5.96,6.45,15.78,16.86,28.62,18,"M",1.61,"Ciudad de México"
2,34,8.14,6.14,7.64,8.84,6.24,7.12,20.83,21.09,35.9,5.26,5.27,6.44,5.39,5.79,6.48,15.98,16.35,27.13,18,"M",1.55,"Ciudad de México"
2,35,8.32,7.52,7.77,9.04,7.31,7.35,22.6,21.49,36.52,5.98,6.36,7.23,5.51,6.45,6.99,15.82,17.85,28.61,18,"F",1.61,"Ciudad de México"
2,36,9.64,6.41,8.05,9.61,6.75,8.31,22.78,22.68,37.75,6.16,6.07,6.93,5.76,6.61,6.91,16.72,18.13,29.25,20,"F",1.67,"Ciudad de México"
2,37,7.74,7.14,7.17,7.81,6.86,7.25,20.89,21.81,33.89,4.87,5.19,5.52,4.75,5.41,6.27,15.33,16.32,25.58,19,"F",1.62,"Ciudad de México"
2,38,7.36,6.81,7.96,7.86,6.65,7.85,22.96,23.05,35.27,5.27,5.42,6.46,4.83,6.02,6.63,17.36,17.49,27.29,21,"F",1.56,"Ciudad de México"
2,39,8.14,6.88,8.89,8.36,6.61,8.91,24.11,24.54,38.58,5.93,6.11,6.89,6.07,6.51,7.12,17.2,18.67,30.05,19,"F",1.55,"Ciudad de México"
2,40,8.25,5.91,8.41,8.07,5.99,8.04,21.68,20.28,36.11,5.33,5.47,6.88,5.29,5.84,6.94,15.85,14.35,25.39,23,"F",1.51,"Estado de México"
2,41,8.41,6.95,8.28,8.57,7.35,8.05,25.18,25.31,40.73,5.57,6.35,6.77,5.97,5.98,6.79,18.92,19.04,31.32,18,"F",1.5,"Ciudad de México"
2,42,8.05,6.02,7.97,8.32,6.21,7.65,22.43,21.64,35.59,4.62,5.84,6.77,5.53,5.62,6.64,18.05,17.68,28.52,19,"M",1.9,"Ciudad de México"
2,43,9.27,6.89,9.06,9.13,6.92,8.45,22.92,24.43,35.53,6.02,6.55,7.63,5.73,6.38,7.35,17.94,17.82,28.1,18,"F",1.7,"Estado de México"
2,44,8.14,7.26,8.59,8.37,7.14,7.93,24.98,24.76,38.82,5.67,NA,7.43,5.19,6.44,7.09,19.11,NA,24.82,18,"F",1.51,"Ciudad de México"
2,45,7.98,6.37,8.24,7.81,6.22,8.12,22.96,23.05,35.63,4.71,5.55,6.88,5.25,5.47,6.68,16.81,17,27.3,18,"F",1.58,"Ciudad de México"
2,46,8.73,7.42,8.65,8.52,7.24,8.21,24.52,23.84,40.88,5.25,6.04,7.58,5.3,6.03,7.38,17.49,17.89,31.06,19,"F",1.6,"Ciudad de México"
